id,pixel_spacing_mm,true_ema_mm2,true_emd_mm,true_emw_mm,true_fat_c_mm,dice_c1,iou_c1,dice_c2,iou_c2,seg_ema_mm2,seg_emd_mm,seg_emw_mm,seg_fat_c_mm,qc_no_muscle,qc_muscle_touches_border,qc_n_components,reg_ema_mm2,reg_emd_mm,reg_emw_mm,reg_fat_c_mm
a00000_f0,0.41999998688697815,1745.47802734375,34.02000045776367,70.55999755859375,6.4679999351501465,0.9947480052520212,0.9895508891792469,0.9697473749873194,0.9412714429880672,1747.5946908750075,34.01999893784523,70.97999778389931,6.971999782323838,False,False,1,1708.7463326275756,31.99848431908802,70.60432569975751,6.916351277807337
a00000_f1,0.41999998688697815,1744.9488525390625,33.599998474121094,70.55999755859375,6.300000190734863,0.9962111644354826,0.992450931051913,0.9836065573772182,0.9677419354845255,1746.8890909190673,33.59999895095825,70.97999778389931,6.467999798059464,False,False,1,1770.205742536411,33.83905550340535,67.92177033197731,6.518002698735174
a00000_f2,0.41999998688697815,1742.1263427734375,33.599998474121094,70.55999755859375,6.888000011444092,0.9958922866271317,0.9918181818182644,0.9825131390350452,0.9656273478593984,1736.3050915799636,33.59999895095825,70.55999779701233,6.887999784946441,False,True,1,1721.7825541997518,32.878471028839215,67.68705615721501,7.22240449408298
a00001_f0,0.41999998688697815,1349.4599609375,30.65999984741211,60.060001373291016,6.047999858856201,0.9928294191172106,0.9857609405619103,0.9802152030547239,0.9611980939423372,1331.9963168262018,30.239999055862427,60.059998124837875,5.879999816417694,False,False,1,1316.817291985888,29.34394362703649,58.205515915704154,6.062563833414117
a00002_f0,0.41999998688697815,1189.1124267578125,28.559999465942383,53.34000015258789,4.619999885559082,0.9931537431165861,0.986400591278841,0.947175011484502,0.8996509598633028,1181.350726232959,28.559999108314514,52.91999834775925,5.459999829530716,False,False,1,1182.8690091540702,28.15748833128191,53.07026690777434,4.309445040215596
a00002_f1,0.41999998688697815,1189.288818359375,28.559999465942383,53.34000015258789,5.460000038146973,0.9911808669656862,0.982515928285931,0.9764394607537301,0.9539635647475637,1170.9431268828403,28.139999121427536,53.7599983215332,5.627999824285507,False,False,1,1111.3223173037113,26.609333349211965,52.66246033530115,5.187337463518091
a00003_f0,0.41999998688697815,1004.2451782226562,26.040000915527344,53.7599983215332,2.2679998874664307,0.9891703056769505,0.9785726628654126,0.9661392405068648,0.9344964799530304,1015.5347365870009,26.039999186992645,52.49999836087227,2.6879999160766603,False,False,1,1033.8356607071692,25.310737714810443,52.25331532787072,3.2887348194149837
a00003_f1,0.41999998688697815,1004.4215698242188,25.6200008392334,53.7599983215332,2.5199999809265137,0.9931972789116247,0.9864864864867237,0.9752770673491001,0.9517470881879618,992.2499380409728,25.619999200105667,52.91999834775925,2.6879999160766603,False,False,1,995.8475109968276,24.77186910043548,51.225285606599755,3.5407235181633467
a00004_f0,0.41999998688697815,1050.28564453125,26.040000915527344,51.2400016784668,4.619999885559082,0.9884550084890623,0.9771735481709102,0.9686885890217648,0.9392784552860955,1027.7063358269702,25.619999200105667,49.9799984395504,5.207999837398529,False,False,1,952.3957477622243,24.05862755000436,50.04637919170409,4.728758207654918
a00004_f1,0.41999998688697815,1050.638427734375,25.6200008392334,51.2400016784668,5.039999961853027,0.9906035723356421,0.9813820865484505,0.9732751568042913,0.9479415670664557,1033.174735485507,25.619999200105667,50.819998413324356,5.039999842643738,False,False,1,983.9936533299988,24.521405813084186,50.99124395817876,5.1296884578222866
