id,pixel_spacing_mm,true_ema_mm2,true_emd_mm,true_emw_mm,true_fat_c_mm,dice_c1,iou_c1,dice_c2,iou_c2,seg_ema_mm2,seg_emd_mm,seg_emw_mm,seg_fat_c_mm,qc_no_muscle,qc_muscle_touches_border,qc_n_components
a00000_f0,0.41999998688697815,1745.47802734375,34.02000045776367,70.55999755859375,6.4679999351501465,0.9636816436652295,0.9299088815467117,0.9151094500809919,0.8435039370109546,1654.4554966908947,34.43999892473221,63.4199980199337,6.71999979019165,False,False,1
a00000_f1,0.41999998688697815,1744.9488525390625,33.599998474121094,70.55999755859375,6.300000190734863,0.9759612909868948,0.9530511712078712,0.9441032580415936,0.8941246056803209,1681.9738949725645,33.59999895095825,66.77999791502953,6.971999782323838,False,False,1
a00000_f2,0.41999998688697815,1742.1263427734375,33.599998474121094,70.55999755859375,6.888000011444092,0.9833333333334185,0.9672131147544281,0.9391793578432517,0.8853328456495001,1708.2574933313385,33.59999895095825,67.61999788880348,8.147999745607375,False,False,1
a00001_f0,0.41999998688697815,1349.4599609375,30.65999984741211,60.060001373291016,6.047999858856201,0.9762982689748582,0.9536940686790623,0.9246329526924999,0.8598300970902137,1300.0679188199056,30.659999042749405,59.6399981379509,7.559999763965607,False,False,1
a00002_f0,0.41999998688697815,1189.1124267578125,28.559999465942383,53.34000015258789,4.619999885559082,0.9785860956293738,0.9580700746703321,0.8815574379568798,0.7882009035400425,1210.6331244044793,29.81999906897545,53.339998334646225,5.627999824285507,False,False,1
a00002_f1,0.41999998688697815,1189.288818359375,28.559999465942383,53.34000015258789,5.460000038146973,0.9832766020424503,0.967103347889853,0.9475901375300757,0.9004002825547351,1194.5807254068386,28.559999108314514,55.01999828219414,5.711999821662903,False,False,1
a00003_f0,0.41999998688697815,1004.2451782226562,26.040000915527344,53.7599983215332,2.2679998874664307,0.9458972046893968,0.897348160822971,0.862058647518521,0.7575598212001693,950.9723406184683,26.039999186992645,47.87999850511551,2.8559999108314513,False,False,1
a00003_f1,0.41999998688697815,1004.4215698242188,25.6200008392334,53.7599983215332,2.5199999809265137,0.9817379797090274,0.9641309998273413,0.9072744302231147,0.8302857142905633,995.0723378647338,26.039999186992645,52.49999836087227,4.703999853134155,False,False,1
a00004_f0,0.41999998688697815,1050.28564453125,26.040000915527344,51.2400016784668,4.619999885559082,0.9685197588750124,0.9389610389620299,0.9160997732436873,0.845188284522427,1056.6359340205204,26.039999186992645,53.339998334646225,4.61999985575676,False,False,1
a00004_f1,0.41999998688697815,1050.638427734375,25.6200008392334,51.2400016784668,5.039999961853027,0.9768264936380144,0.9547026848961505,0.9367839331454807,0.8810851927007839,1042.7003348907003,25.619999200105667,52.07999837398529,4.787999850511551,False,False,1
a00005_f0,0.41999998688697815,969.6707763671875,23.100000381469727,55.02000045776367,7.139999866485596,0.9737620103476186,0.9488656823919902,0.9602742965244705,0.9235842619985539,939.6827413234244,22.67999929189682,52.49999836087227,7.559999763965607,False,False,1
a00005_f1,0.41999998688697815,972.4932250976562,23.100000381469727,55.02000045776367,6.71999979019165,0.9701217263005337,0.941977077364936,0.9626977711056393,0.928078378981784,940.3883412793646,23.099999278783798,54.17999830842018,7.811999756097794,False,False,1
